 cattivin ( VERB ) 
 Cuomo ( NOUN NOUN_PROPER_SINGULAR ) 
 Champions ( NOUN NOUN_PROPER_SINGULAR ) 
 Cecchi ( NOUN NOUN_PROPER_SINGULAR ) 
 Chigi ( NOUN NOUN_PROPER_SINGULAR ) 
 Cattolica ( NOUN NOUN_PROPER_SINGULAR ) 
 Croce ( NOUN NOUN_PROPER_SINGULAR ) 
 Conti ( NOUN NOUN_PROPER_SINGULAR ) 
 Copenaghen ( NOUN NOUN_PROPER_SINGULAR ) 
 Colonna ( NOUN NOUN_PROPER_SINGULAR ) 
 Coverciano ( NOUN NOUN_PROPER_SINGULAR ) 
 Christopher ( NOUN NOUN_PROPER_SINGULAR ) 
 Campana ( NOUN NOUN_PROPER_SINGULAR ) 
 Carnevale ( NOUN NOUN_PROPER_SINGULAR ) 
 Ciampino ( NOUN NOUN_PROPER_SINGULAR ) 
 Cacciari ( NOUN NOUN_PROPER_SINGULAR ) 
 Carrera ( NOUN NOUN_PROPER_SINGULAR ) 
 Credit ( NOUN NOUN_PROPER_SINGULAR ) 
 Cristiano ( NOUN NOUN_PROPER_SINGULAR ) 
 Clark ( NOUN NOUN_PROPER_SINGULAR ) 
 Colonia ( NOUN NOUN_PROPER_SINGULAR ) 
 Continental ( NOUN NOUN_PROPER_SINGULAR ) 
 Chirac ( NOUN NOUN_PROPER_SINGULAR ) 
 Coppola ( NOUN NOUN_PROPER_SINGULAR ) 
 Cipe ( NOUN NOUN_PROPER_SINGULAR ) 
 Castello ( NOUN NOUN_PROPER_SINGULAR ) 
 Calabria ( NOUN NOUN_PROPER_SINGULAR ) 
 Ciro ( NOUN NOUN_PROPER_SINGULAR ) 
 Camillo ( NOUN NOUN_PROPER_SINGULAR ) 
 Cossutta ( NOUN NOUN_PROPER_SINGULAR ) 
 Crediop ( NOUN NOUN_PROPER_SINGULAR ) 
 Cia ( NOUN NOUN_PROPER_SINGULAR ) 
 condiziono ( VERB ) 
 Carboni ( NOUN NOUN_PROPER_SINGULAR ) 
 Camerun ( NOUN NOUN_PROPER_SINGULAR ) 
 Christian ( NOUN NOUN_PROPER_SINGULAR ) 
 Company ( NOUN NOUN_PROPER_SINGULAR ) 
 Cristiana ( NOUN NOUN_PROPER_SINGULAR ) 
 Confesercenti ( NOUN NOUN_PROPER_SINGULAR ) 
 Chernobyl ( NOUN NOUN_PROPER_SINGULAR ) 
 Cup ( NOUN NOUN_PROPER_SINGULAR ) 
 Cassese ( NOUN NOUN_PROPER_SINGULAR ) 
 Castagnetti ( NOUN NOUN_PROPER_SINGULAR ) 
 Curzi ( NOUN NOUN_PROPER_SINGULAR ) 
 Corriere ( NOUN NOUN_PROPER_SINGULAR ) 
 Cola ( NOUN NOUN_PROPER_SINGULAR ) 
 Calvino ( NOUN NOUN_PROPER_SINGULAR ) 
 Cuba ( NOUN NOUN_PROPER_SINGULAR ) 
 Confalonieri ( NOUN NOUN_PROPER_SINGULAR ) 
 Cannavaro ( NOUN NOUN_PROPER_SINGULAR ) 
 Castellammare ( NOUN NOUN_PROPER_SINGULAR ) 
 Ciarrapico ( NOUN NOUN_PROPER_SINGULAR ) 
 Cossiga ( NOUN NOUN_PROPER_SINGULAR ) 
 Colucci ( NOUN NOUN_PROPER_SINGULAR ) 
 Claudia ( NOUN NOUN_PROPER_SINGULAR ) 
 Carlos ( NOUN NOUN_PROPER_SINGULAR ) 
 Casale ( NOUN NOUN_PROPER_SINGULAR ) 
 Conso ( NOUN NOUN_PROPER_SINGULAR ) 
 Campbell ( NOUN NOUN_PROPER_SINGULAR ) 
 Csm ( NOUN NOUN_PROPER_SINGULAR ) 
 Coni ( NOUN NOUN_PROPER_SINGULAR ) 
 Caucaso ( NOUN NOUN_PROPER_SINGULAR ) 
 C ( NOUN NOUN_PROPER_SINGULAR ) 
 Cenerentola ( NOUN NOUN_PROPER_SINGULAR ) 
 Carpi ( NOUN NOUN_PROPER_SINGULAR ) 
 Cerus ( NOUN NOUN_PROPER_SINGULAR ) 
 cybernetica ( ADJECTIVE ) 
 Collina ( NOUN NOUN_PROPER_SINGULAR ) 
 Cerezo ( NOUN NOUN_PROPER_SINGULAR ) 
 Carmelo ( NOUN NOUN_PROPER_SINGULAR ) 
 Caniggia ( NOUN NOUN_PROPER_SINGULAR ) 
 concionerebbero ( VERB ) 
 Comit ( NOUN NOUN_PROPER_SINGULAR ) 
 Calò ( NOUN NOUN_PROPER_SINGULAR ) 
 Cct ( NOUN NOUN_PROPER_SINGULAR ) 
 Cremonese ( NOUN NOUN_PROPER_SINGULAR ) 
 Cohen ( NOUN NOUN_PROPER_SINGULAR ) 
 Colombo ( NOUN NOUN_PROPER_SINGULAR ) 
 Collins ( NOUN NOUN_PROPER_SINGULAR ) 
 Cruz ( NOUN NOUN_PROPER_SINGULAR ) 
 Corea ( NOUN NOUN_PROPER_SINGULAR ) 
 cacavamo ( VERB ) 
 Cariglia ( NOUN NOUN_PROPER_SINGULAR ) 
 Crespo ( NOUN NOUN_PROPER_SINGULAR ) 
 Cipollini ( NOUN NOUN_PROPER_SINGULAR ) 
 Coca ( NOUN NOUN_PROPER_SINGULAR ) 
 Corleone ( NOUN NOUN_PROPER_SINGULAR ) 
 Citta' ( NOUN NOUN_PROPER_SINGULAR ) 
 Catania ( NOUN NOUN_PROPER_SINGULAR ) 
 Colaninno ( NOUN NOUN_PROPER_SINGULAR ) 
 Cecoslovacchia ( NOUN NOUN_PROPER_SINGULAR ) 
 Cragnotti ( NOUN NOUN_PROPER_SINGULAR ) 
 caletteremmo ( VERB ) 
 Coulthard ( NOUN NOUN_PROPER_SINGULAR ) 
 Cesare ( NOUN NOUN_PROPER_SINGULAR ) 
 Canal ( NOUN NOUN_PROPER_SINGULAR ) 
 Caselli ( NOUN NOUN_PROPER_SINGULAR ) 
 Carl ( NOUN NOUN_PROPER_SINGULAR ) 
 Caltanissetta ( NOUN NOUN_PROPER_SINGULAR ) 
 Cremlino ( NOUN NOUN_PROPER_SINGULAR ) 
 Corrado ( NOUN NOUN_PROPER_SINGULAR ) 
 Carter ( NOUN NOUN_PROPER_SINGULAR ) 
 Christie ( NOUN NOUN_PROPER_SINGULAR ) 
 Cisl ( NOUN NOUN_PROPER_SINGULAR ) 
 Carniti ( NOUN NOUN_PROPER_SINGULAR ) 
 Comencini ( NOUN NOUN_PROPER_SINGULAR ) 
 Cinecittà ( NOUN NOUN_PROPER_SINGULAR ) 
 Capello ( NOUN NOUN_PROPER_SINGULAR ) 
 Criminalpol ( NOUN NOUN_PROPER_SINGULAR ) 
 Catanzaro ( NOUN NOUN_PROPER_SINGULAR ) 
 Cesena ( NOUN NOUN_PROPER_SINGULAR ) 
 Casiraghi ( NOUN NOUN_PROPER_SINGULAR ) 
 Cusani ( NOUN NOUN_PROPER_SINGULAR ) 
 Como ( NOUN NOUN_PROPER_SINGULAR ) 
 Cambridge ( NOUN NOUN_PROPER_SINGULAR ) 
